ms,Temp
566445,35.80
568467,35.80
570491,35.80
572514,35.80
574536,35.80
576561,35.80
578583,35.80
580605,35.80
582630,35.80
584652,35.80
586675,35.80
588699,35.80
590722,35.80
592744,35.80
594767,35.90
596790,35.80
598812,35.90
600837,35.90
602859,35.90
604881,35.80
606906,35.90
608928,35.90
610952,35.90
612974,35.90
614996,35.90
617021,35.90
619043,35.90
621067,35.90
623089,35.90
625112,35.90
627136,35.90
629158,35.90
631181,35.90
633204,35.90
635227,35.90
637251,35.90
639273,35.90
641296,35.90
643319,35.90
645342,35.90
647366,35.90
649389,35.90
651411,35.90
653434,35.90
655457,35.90
657481,35.90
659504,35.90
661526,35.90
663549,35.90
665572,35.90
667596,35.90
669619,35.90
671641,35.90
673666,36.00
675688,35.90
677711,35.90
679734,36.00
681756,35.90
683781,36.00
685803,36.00
687825,36.00
689848,35.90
691872,36.00
693895,36.00
695917,36.00
697942,36.00
699964,36.00
701986,36.00
704009,36.00
706033,36.00
708057,36.00
710080,36.00
712102,36.00
714125,36.00
716147,36.00
718170,36.00
720192,36.00
722214,36.00
724237,36.00
726259,36.00
728282,36.00
730304,36.00
732326,36.00
734349,36.00
736371,36.00
738395,36.00
740418,36.00
742441,36.00
744465,36.00
746488,36.00
748512,36.00
750535,36.00
752560,35.90
754582,36.00
756604,36.00
758627,36.00
760649,36.00
762672,36.00
764694,36.00
766716,36.00
768739,36.00
770761,36.00
772784,36.00
774806,36.00
776828,36.00
778851,36.00
780873,36.00
782896,36.00
784918,36.00
786940,36.00
788963,36.00
790985,36.00
793008,36.00
795030,36.00
797052,36.00
799075,36.00
801097,36.00
803120,36.00
805142,36.00
807164,36.00
809187,36.00
811209,36.00
813232,36.00
815254,36.00
817276,36.00
819300,36.00
821323,36.00
823348,36.00
825371,36.00
827395,36.00
829418,36.00
831440,36.00
833463,36.00
835485,36.00
837508,36.00
839530,36.00
841552,36.00
843575,36.00
845598,36.00
847622,36.00
849646,36.00
851670,36.00
853693,36.00
855715,36.00
857738,36.00
859760,36.00
861783,36.00
863805,36.00
865828,36.00
867852,36.00
869876,36.00
871900,36.10
873922,36.00
875944,36.10
877967,36.00
879989,36.00
882013,36.00
884036,36.00
886061,36.00
888084,36.10
890106,36.00
892129,36.00
894151,36.10
896174,36.10
898197,36.00
900220,36.00
