ms,Temp
366162,36.5
368187,36.5
370209,36.5
372232,36.5
374254,36.5
376279,36.5
378301,36.5
380323,36.6
382346,36.5
384370,36.5
386393,36.5
388415,36.5
390437,36.5
392462,36.6
394484,36.6
396507,36.6
398529,36.5
400553,36.6
402577,36.6
404599,36.6
406622,36.6
408645,36.6
410670,36.6
412692,36.6
414714,36.6
416737,36.6
418761,36.6
420784,36.6
422806,36.6
424828,36.6
426853,36.6
428875,36.6
430898,36.6
432922,36.6
434945,36.6
436967,36.6
438991,36.6
441014,36.6
443036,36.6
445061,36.6
447083,36.6
449105,36.6
451128,36.6
453152,36.6
455175,36.6
457197,36.6
459222,36.6
461244,36.6
463266,36.6
465291,36.6
467313,36.6
469336,36.6
471359,36.6
473382,36.6
475405,36.6
477427,36.6
479452,36.6
481474,36.6
483496,36.6
485521,36.6
487543,36.6
489566,36.6
491590,36.6
493613,36.6
495635,36.6
497657,36.6
499682,36.6
501704,36.6
503727,36.6
505751,36.6
507773,36.6
509796,36.7
511819,36.7
513842,36.7
515864,36.7
517888,36.6
519911,36.7
521933,36.7
523957,36.7
525979,36.7
528002,36.7
530026,36.7
532048,36.7
534071,36.6
536094,36.7
538117,36.7
540139,36.7
542163,36.7
544186,36.7
546208,36.7
548233,36.7
550255,36.7
552278,36.7
554302,36.7
556324,36.7
558347,36.7
560371,36.7
562394,36.7
564416,36.7
566440,36.7
568463,36.7
570485,36.7
572509,36.7
574531,36.7
576555,36.7
578577,36.7
580599,36.7
582624,36.7
584646,36.7
586669,36.7
588693,36.7
590715,36.7
592738,36.7
594762,36.7
596785,36.7
598807,36.7
600832,36.7
602854,36.7
604876,36.7
606901,36.7
608923,36.7
610946,36.7
612969,36.7
614991,36.7
617014,36.7
619037,36.7
621060,36.7
623084,36.7
625106,36.7
627129,36.7
629151,36.7
631176,36.7
633198,36.7
635220,36.7
637245,36.7
639267,36.7
641290,36.7
643314,36.7
645338,36.7
647360,36.7
649382,36.7
651407,36.7
653429,36.7
655452,36.7
657474,36.7
659499,36.7
661521,36.7
663543,36.8
665566,36.7
667590,36.7
669613,36.7
671635,36.7
673657,36.7
675682,36.7
677704,36.7
679727,36.8
681749,36.7
683773,36.7
685796,36.7
687818,36.7
689841,36.7
691865,36.8
693889,36.8
695911,36.7
697933,36.8
699957,36.8
701981,36.7
704004,36.7
706026,36.7
708049,36.8
710074,36.7
712096,36.8
714119,36.8
716141,36.7
718166,36.8
720188,36.8
722210,36.8
724233,36.7
726257,36.8
728281,36.8
730303,36.8
732325,36.8
734348,36.8
736372,36.8
738395,36.8
740417,36.8
742439,36.8
744463,36.8
746487,36.8
748510,36.8
750532,36.8
752555,36.8
754579,36.8
756602,36.8
758625,36.8
760647,36.8
762670,36.8
764694,36.8
766716,36.8
768739,36.8
770761,36.8
772785,36.8
774809,36.8
776832,36.8
778854,36.8
780876,36.8
782901,36.8
784924,36.8
786947,36.8
788969,36.8
790991,36.8
793016,36.8
795038,36.8
797061,36.8
799083,36.8
801106,36.8
803131,36.8
805153,36.8
807176,36.8
809198,36.8
811222,36.8
813246,36.8
815268,36.8
817291,36.8
819313,36.8
821338,36.8
823360,36.8
825382,36.8
827405,36.8
829428,36.8
831453,36.8
833475,36.8
835497,36.8
837520,36.8
839543,36.8
841568,36.8
843590,36.8
845613,36.8
847635,36.8
849659,36.8
851682,36.8
853704,36.8
855727,36.8
857750,36.8
859774,36.8
861797,36.8
863819,36.8
865842,36.8
867865,36.8
869890,36.8
871912,36.8
873934,36.8
875957,36.9
877981,36.8
880004,36.8
882026,36.8
884048,36.8
886073,36.8
888095,36.9
890118,36.8
892140,36.8
894163,36.8
896188,36.9
898210,36.9
900233,36.9
